zip,borough,neighborhood,Jan_2020,Jan_2021,Change_2021_minus_2020
10007,Manhattan,Lower Manhattan,6334,5422,-913
10069,Manhattan,NA,4623,3875,-748
10009,Manhattan,Lower East Side,3406,2692,-714
10016,Manhattan,Gramercy Park and Murray Hill,3731,3019,-712
10001,Manhattan,Chelsea and Clinton,4108,3398,-710
10002,Manhattan,Lower East Side,3645,2935,-710
10004,Manhattan,Lower Manhattan,3150,2444,-706
10038,Manhattan,Lower Manhattan,3573,2876,-698
10012,Manhattan,Greenwich Village and Soho,3629,2942,-686
10010,Manhattan,Gramercy Park and Murray Hill,3697,3012,-685
